Agency,Platform,Url,Date_Sampled,Likes_Followers_Visits_Downloads
DYCD,Twitter,http://twitter.com/nycyouth,2011-08-08,1849
NYCService,Twitter,http://twitter.com/nycservice,2011-08-08,1685
TLC,Twitter,http://twitter.com/NYCTaxi,2011-08-08,1877
DOB,Twitter,http://twitter.com/nyc_buildings,2011-08-08,1823
NYCHA,Twitter,http://twitter.com/NYCHA,2011-08-08,2397
MOME,Twitter,http://www.twitter.com/nyc_media,2011-08-08,4022
EDC,Twitter,http://twitter.com/nycedc,2011-08-08,4321
DOH,Twitter,http://twitter.com/nycHealthy,2011-08-08,4371
NYC Digital,Twitter,http://twitter.com/nycgov,2011-08-08,2829
311,Twitter,http://www.twitter.com/NYCASP,2011-08-08,6677
DOT,Twitter,http://twitter.com/NYC_DOT,2011-08-08,9149
FDNY,Twitter,http://www.twitter.com/FDNY,2011-08-08,11274
DOE,Twitter,http://twitter.com/NYCSchools,2011-08-08,14877
DPR,Twitter,http://twitter.com/NYCParks,2011-08-08,14873
NYPD,Twitter,http://twitter.com/NYPDnews,2011-08-08,14861
311,Twitter,http://www.twitter.com/311NYC,2011-08-08,17956
OEM,Twitter,http://twitter.com/NotifyNYC,2011-08-08,20110
NYC & Co,Twitter,http://twitter.com/nycgo,2011-08-08,38659
Mayor's Office,Twitter,http://www.twitter.com/nycmayorsoffice,2011-08-08,22957
Change by Us,Twitter,www.twitter.com/ChangebyUs_NYC,2011-08-08,
DHS,Twitter,www.twitter.com/nycdhs,2011-08-08,
DOF,Twitter,https://twitter.com/nycfinance,2011-08-08,
DOHMH,Twitter,https://twitter.com/DrFarleyDOHMH,2011-08-08,
DSNY,Twitter,www.twitter.com/nycrecycles,2011-08-08,
FDNY,Twitter,https://twitter.com/joinFDNY,2011-08-08,
Materials for the Arts,Twitter,https://twitter.com/mftanyc,2011-08-08,
MOAE,Twitter,http://twitter.com/youcantoonyc,2011-08-08,
NYC Digital,Twitter,https://twitter.com/nycgob,2011-08-08,
NYC Waterfront,Twitter,http://twitter.com/nycwaterfront,2011-08-08,
NYCCFB,Twitter,http://twitter.com/NYCVotes,2011-08-08,
NYCGLOBAL,Twitter,www.twitter.com/nycglobal,2011-08-08,
Prob,Twitter,www.twitter.com/nycprobation,2011-08-08,
Vets,Twitter,http://twitter.com/NYCVeterans,2011-08-08,
DRIS,Twitter,https://twitter.com/NYCRecords,2011-08-08,
YMI,Twitter,http://www.twitter.com/nycyoungmen,2011-08-08,
DOE,Vimeo,http://vimeo.com/nycschools,2011-08-08,
NYCSevereWeather,WordPress,http://nycsevereweather.wordpress.com/,2011-08-08,50
311,WordPress,http://311nyc.wordpress.com/,2011-08-08,100
DOITT,WordPress,http://nycitymap.wordpress.com/,2011-08-08,100
DOITT,WordPress,http://nycitt.wordpress.com/,2011-08-08,
HHS,WordPress,http://hsdatanyc.wordpress.com/,2011-08-08,
HHS,WordPress,http://hsdata-nyc.org,2011-08-08,
LMEC,WordPress,http://lmew.wordpress.com/,2011-08-08,10
Materials for the Arts,WordPress,http://mfta.wordpress.com/,2011-08-08,
MOIA,WordPress,http://ihwnyc.wordpress.com,2011-08-08,10
SBS,WordPress,http://nycworkforce1partners.wordpress.com/,2011-08-08,
SBS,WordPress,http://workforce1.org,2011-08-08,
SimpliCity,WordPress,http://nycsimplicity.wordpress.com/,2011-08-08,100
DOE,YouTube,http://www.youtube.com/thefundforps,2011-08-08,1
DOH,YouTube,http://www.youtube.com/user/NYCcondoms,2011-08-08,1
LMEC,YouTube,http://www.youtube.com/user/NYCLMEW,2011-08-08,1
Probation,YouTube,http://www.youtube.com/NYCProbation,2011-08-08,6
DOITT,YouTube,http://www.youtube.com/doittnews,2011-08-08,6
GreeNYC,YouTube,http://www.youtube.com/BirdieNYCity,2011-08-08,8
HRA,YouTube,http://www.youtube.com/user/HRANYC,2011-08-08,12
NYCHA,YouTube,http://www.youtube.com/NYCHAHousing,2011-08-08,6
HHC,YouTube,http://www.youtube.com/HHCnyc,2011-08-08,13
DOE,YouTube,http://www.youtube.com/nycschools,2011-08-08,41
DYCD,YouTube,http://www.youtube.com/dycdnyc,2011-08-08,33
OEM,YouTube,http://www.youtube.com/nycoem,2011-08-08,28
DOB,YouTube,http://www.youtube.com/NYCBUILDINGS,2011-08-08,60
EDC,YouTube,http://www.youtube.com/NYCEDC,2011-08-08,69
MOME,YouTube,http://www.youtube.com/nycmedia25,2011-08-08,82
DPR,YouTube,http://www.youtube.com/user/NYCParksDepartment,2011-08-08,163
DOT,YouTube,http://www.youtube.com/NYCDOT,2011-08-08,290
Mayor's Office,YouTube,http://www.youtube.com/mayorbloomberg,2011-08-08,398
NYPD,YouTube,http://www.youtube.com/nypd,2011-08-08,2646
DOH,YouTube,http://www.youtube.com/NYCHealth,2011-08-08,0
FDNY,YouTube,http://www.youtube.com/user/yourFDNY,2011-08-08,0
Child Services,Youtube,http://www.youtube.com/user/childservices,2011-08-08,
DCA,YouTube,http://www.youtube.com/nycdca,2011-08-08,
DOC,YouTube,http://www.youtube.com/user/OFFICIALNYCDOC,2011-08-08,
DOH,Youtube,http://www.youtube.com/user/drinkingsugar,2011-08-08,
